"Horodateur","Quel âge avez-vous ?  :","Sexe : ","Connaissez-vous Arduino ? :","Vous êtes intéressés par : ","Avez-vous déjà fait de la programmation ? ","Quel niveau avez-vous en programmation Arduino ? ","Quel niveau aimeriez-vous acquérir ? :","Cela vous dérange-t-il de lire du cours pour apprendre de nouvelles notions? :","Effectuer des montages électroniques vous pose-t-il un problème ? :","Êtes-vous autodidacte ? :"
"2016/05/03 10:39:08 AM UTC+2","de 15 à 18 ans","F","OUI","Robotique;Domotique","Oui","base","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:16:24 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Domotique","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 1:17:15 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général","Non","aucun","avancé","Non","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 1:17:54 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Domotique","Oui","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:18:17 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","avancé","expert","Non","Non, s'il y en a peu","Oui"
"2016/05/03 1:18:42 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","aucun","base","Non","Oui","Oui"
"2016/05/03 1:20:08 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Domotique","Oui","base","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:22:06 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","avancé","avancé","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 1:24:11 PM UTC+2","de 18 à 25 ans","M","NON","Robotique;Domotique","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 1:24:11 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 1:24:53 PM UTC+2","de 15 à 18 ans","F","NON","Aucun","Oui","base","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 1:24:59 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général","Oui","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/03 1:25:25 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 1:28:29 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 1:28:45 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général","Oui","base","avancé","Non","Non, s'il y en a peu","Oui"
"2016/05/03 1:29:30 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 1:29:36 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","avancé","avancé","Non","Non","Oui"
"2016/05/03 1:30:43 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général","Oui","base","avancé","Non","Non","Oui"
"2016/05/03 1:32:09 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général","Un peu","aucun","expert","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:33:10 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/03 1:34:30 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Non","expert","expert","Oui","Oui","Oui"
"2016/05/03 1:34:33 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","base","base","Non","Non, s'il y en a peu","Oui"
"2016/05/03 1:36:07 PM UTC+2","de 40 à 60 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 1:37:16 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non","Non, s'il y en a peu","Oui"
"2016/05/03 1:37:25 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Microprocesseur","Oui","avancé","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:38:29 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 1:41:09 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 1:42:47 PM UTC+2","de 18 à 25 ans","F","OUI","Electronique embarquée en général;Robotique;Microprocesseur","Oui","base","expert","Non","Oui","Oui"
"2016/05/03 1:45:32 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 1:46:22 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Domotique","Oui","base","avancé","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 1:49:01 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Domotique","Non","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:49:39 PM UTC+2","de 18 à 25 ans","F","OUI","Robotique","Oui","aucun","base","Non","Oui","Oui"
"2016/05/03 1:50:34 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Domotique","Oui","aucun","avancé","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 1:52:12 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","avancé","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:54:08 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Microprocesseur","Oui","avancé","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:56:29 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 1:57:25 PM UTC+2","de 18 à 25 ans","M","NON","Domotique","Oui","aucun","base","Oui","Non","Oui"
"2016/05/03 1:57:39 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique","Oui","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 2:00:57 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général","Oui","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 2:04:16 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","aucun","expert","Non","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 2:06:52 PM UTC+2","de 18 à 25 ans","M","NON","Robotique","Non","aucun","avancé","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 2:07:48 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 2:08:09 PM UTC+2","de 18 à 25 ans","F","NON","Robotique;Aucun","Non","aucun","base","Non","Non","Oui"
"2016/05/03 2:09:53 PM UTC+2","de 15 à 18 ans","M","OUI","Electronique embarquée en général;Robotique;Microprocesseur","Oui","aucun","avancé","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 2:12:16 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général","Un peu","aucun","avancé","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 2:13:34 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général","Oui","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 2:13:53 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général","Oui","aucun","base","Non","Non, s'il y en a peu","Oui"
"2016/05/03 2:14:23 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général;Domotique;Microprocesseur","Non","aucun","base","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 2:14:30 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Non","Oui"
"2016/05/03 2:19:06 PM UTC+2","de 18 à 25 ans","M","NON","Domotique","Un peu","aucun","base","Non","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 2:22:43 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","aucun","base","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 2:26:41 PM UTC+2","de 18 à 25 ans","M","NON","Robotique","Non","aucun","base","Non","Non","Oui"
"2016/05/03 2:31:12 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 2:31:36 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique","Oui","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 2:31:59 PM UTC+2","plus de 60 ans","F","OUI","Aucun","Non","expert","base","Oui","Oui","Oui"
"2016/05/03 2:32:42 PM UTC+2","plus de 60 ans","F","OUI","Aucun","Non","expert","base","Oui","Oui","Oui"
"2016/05/03 2:32:43 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 2:33:04 PM UTC+2","plus de 60 ans","F","OUI","Aucun","Non","expert","base","Oui","Oui","Oui"
"2016/05/03 2:33:24 PM UTC+2","plus de 60 ans","F","OUI","Aucun","Non","expert","base","Oui","Oui","Oui"
"2016/05/03 2:34:20 PM UTC+2","de 18 à 25 ans","M","OUI","Domotique","Oui","base","expert","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 2:35:41 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Microprocesseur","Oui","expert","expert","Non","Non","Oui"
"2016/05/03 2:50:23 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Non","aucun","base","Non","Non, s'il y en a peu","Oui"
"2016/05/03 2:50:38 PM UTC+2","de 18 à 25 ans","F","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 2:59:03 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 3:00:10 PM UTC+2","de 18 à 25 ans","M","NON","Robotique;Domotique","Oui","aucun","base","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 3:04:36 PM UTC+2","plus de 60 ans","M","OUI","Electronique embarquée en général;Aucun","Oui","expert","base","Non","Oui","Oui"
"2016/05/03 3:09:43 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Domotique","Oui","aucun","base","Oui","Non","Oui"
"2016/05/03 3:15:00 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique","Oui","avancé","avancé","Non","Non","Oui"
"2016/05/03 3:15:23 PM UTC+2","de 25 à 30 ans","M","OUI","Aucun","Non","aucun","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 3:15:30 PM UTC+2","de 25 à 30 ans","M","OUI","Aucun","Non","aucun","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 3:20:39 PM UTC+2","de 15 à 18 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","base","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/03 3:30:39 PM UTC+2","de 18 à 25 ans","M","NON","Robotique","Un peu","aucun","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/03 3:40:58 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/03 3:43:27 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Oui","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 3:43:38 PM UTC+2","de 18 à 25 ans","F","NON","Microprocesseur","Non","aucun","avancé","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 3:49:25 PM UTC+2","moins de 15 ans","F","NON","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Non","expert","base","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 3:52:00 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Domotique;Microprocesseur","Oui","aucun","avancé","Non","Non","Oui"
"2016/05/03 3:58:51 PM UTC+2","de 18 à 25 ans","F","OUI","Aucun","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 4:04:52 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Oui","Oui"
"2016/05/03 4:07:43 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Non","Oui"
"2016/05/03 4:08:06 PM UTC+2","de 18 à 25 ans","M","NON","Domotique","Un peu","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 4:14:59 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général;Domotique","Non","aucun","base","Non, s'il y en a peu","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 4:17:30 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Oui","aucun","avancé","Oui","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 4:23:26 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général;Robotique;Microprocesseur","Un peu","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 4:55:32 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Oui","base","avancé","Non","Non","Oui"
"2016/05/03 5:05:52 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non","Non","Oui"
"2016/05/03 5:14:19 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 5:14:46 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","base","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 5:17:27 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/03 5:20:00 PM UTC+2","de 18 à 25 ans","F","NON","Robotique","Oui","aucun","base","Oui","Non","Oui"
"2016/05/03 5:21:11 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique","Oui","aucun","base","Non","Non","Oui"
"2016/05/03 5:41:51 PM UTC+2","de 18 à 25 ans","F","NON","Robotique","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 5:57:46 PM UTC+2","de 18 à 25 ans","F","OUI","Robotique;Microprocesseur","Oui","base","avancé","Non","Non","Oui"
"2016/05/03 5:57:56 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Oui","aucun","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 5:58:58 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général","Non","aucun","base","Oui","Non","Oui"
"2016/05/03 6:01:12 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Oui","aucun","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/03 6:11:03 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 6:17:18 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Oui","aucun","base","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 6:23:21 PM UTC+2","de 40 à 60 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique","Non","aucun","avancé","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 6:28:21 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","base","base","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 6:29:23 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Non","aucun","base","Non","Non","Oui"
"2016/05/03 6:30:56 PM UTC+2","de 18 à 25 ans","M","NON","Robotique","Oui","aucun","avancé","Non","Non","Oui"
